wl,n,k
1.4925,4.5052,6.3282
1.495,4.5099,6.3337
1.4975,4.5145,6.3392
1.5,4.5191,6.3447
1.5025,4.5236,6.3502
1.505,4.5282,6.3558
1.5075,4.5328,6.3613
1.51,4.5374,6.3668
1.5125,4.5419,6.3723
1.515,4.5465,6.3778
1.5175,4.551,6.3832
1.52,4.5556,6.3887
1.5225,4.5601,6.3942
1.525,4.5647,6.3997
1.5275,4.5692,6.4052
1.53,4.5737,6.4106
1.5325,4.5782,6.4161
1.535,4.5827,6.4216
1.5375,4.5872,6.427
1.54,4.5917,6.4325
1.5425,4.5962,6.4379
1.545,4.6007,6.4434
1.5475,4.6052,6.4488
1.55,4.6097,6.4543
1.5525,4.6141,6.4597
1.555,4.6186,6.4651
1.5575,4.6231,6.4706
1.56,4.6275,6.476
1.5625,4.632,6.4814
1.565,4.6364,6.4868
1.5675,4.6408,6.4922
1.57,4.6453,6.4976
1.5725,4.6497,6.5031
1.575,4.6541,6.5085
1.5775,4.6585,6.5139
1.58,4.6629,6.5193
1.5825,4.6673,6.5246
1.585,4.6717,6.53
1.5875,4.6761,6.5354
1.59,4.6804,6.5408
1.5925,4.6848,6.5462
1.595,4.6892,6.5516
1.5975,4.6936,6.5569
1.6,4.6979,6.5623
1.6025,4.7023,6.5677
1.605,4.7066,6.573
1.6075,4.7109,6.5784
1.61,4.7153,6.5837
1.6125,4.7196,6.5891
1.615,4.7239,6.5944
1.6175,4.7283,6.5998
1.62,4.7326,6.6051
1.6225,4.7369,6.6105
1.625,4.7412,6.6158
1.6275,4.7455,6.6211
1.63,4.7498,6.6265
1.6325,4.754,6.6318
1.635,4.7583,6.6371
1.6375,4.7626,6.6424
1.64,4.7669,6.6477
1.6425,4.7711,6.6531
1.645,4.7754,6.6584
1.6475,4.7796,6.6637
1.65,4.7839,6.669
1.6525,4.7881,6.6743
1.655,4.7924,6.6796
1.6575,4.7966,6.6849
1.66,4.8008,6.6902
1.6625,4.805,6.6954
1.665,4.8092,6.7007
1.6675,4.8135,6.706
1.67,4.8177,6.7113
1.6725,4.8219,6.7166
1.675,4.826,6.7218
1.6775,4.8302,6.7271
1.68,4.8344,6.7324
1.6825,4.8386,6.7376
1.685,4.8428,6.7429
1.6875,4.8469,6.7482
1.69,4.8511,6.7534
