wl,n,k
0.425,1.6802,2.9592
0.426,1.6834,2.9649
0.427,1.6866,2.9705
0.428,1.6898,2.9761
0.429,1.693,2.9818
0.43,1.6962,2.9874
0.431,1.6994,2.993
0.432,1.7026,2.9985
0.433,1.7058,3.0041
0.434,1.709,3.0097
0.435,1.7122,3.0152
0.436,1.7155,3.0208
0.437,1.7187,3.0263
0.438,1.722,3.0319
0.439,1.7252,3.0374
0.44,1.7285,3.0429
0.441,1.7317,3.0484
0.442,1.735,3.0539
0.443,1.7383,3.0593
0.444,1.7415,3.0648
0.445,1.7448,3.0703
0.446,1.7481,3.0757
0.447,1.7514,3.0812
0.448,1.7547,3.0866
0.449,1.758,3.092
0.45,1.7613,3.0974
0.451,1.7646,3.1028
0.452,1.7679,3.1082
0.453,1.7712,3.1136
0.454,1.7745,3.119
0.455,1.7779,3.1243
0.456,1.7812,3.1297
0.457,1.7845,3.135
0.458,1.7878,3.1403
0.459,1.7912,3.1457
0.46,1.7945,3.151
0.461,1.7979,3.1563
0.462,1.8012,3.1616
0.463,1.8046,3.1669
0.464,1.8079,3.1721
0.465,1.8113,3.1774
0.466,1.8146,3.1826
0.467,1.818,3.1879
0.468,1.8214,3.1931
0.469,1.8247,3.1983
0.47,1.8281,3.2036
0.471,1.8315,3.2088
0.472,1.8348,3.214
0.473,1.8382,3.2191
0.474,1.8416,3.2243
0.475,1.845,3.2295
0.476,1.8484,3.2346
0.477,1.8518,3.2398
0.478,1.8551,3.2449
0.479,1.8585,3.2501
0.48,1.8619,3.2552
0.481,1.8653,3.2603
0.482,1.8687,3.2654
0.483,1.8721,3.2705
0.484,1.8755,3.2755
0.485,1.8789,3.2806
0.486,1.8823,3.2857
0.487,1.8857,3.2907
0.488,1.8891,3.2958
0.489,1.8925,3.3008
0.49,1.896,3.3058
0.491,1.8994,3.3108
0.492,1.9028,3.3159
0.493,1.9062,3.3209
0.494,1.9096,3.3258
0.495,1.913,3.3308
0.496,1.9165,3.3358
0.497,1.9199,3.3407
0.498,1.9233,3.3457
0.499,1.9267,3.3506
0.5,1.9301,3.3556
0.501,1.9336,3.3605
0.502,1.937,3.3654
0.503,1.9404,3.3703
0.504,1.9438,3.3752
0.505,1.9473,3.3801
0.506,1.9507,3.385
0.507,1.9541,3.3898
0.508,1.9575,3.3947
0.509,1.961,3.3996
0.51,1.9644,3.4044
0.511,1.9678,3.4092
0.512,1.9713,3.4141
0.513,1.9747,3.4189
0.514,1.9781,3.4237
0.515,1.9816,3.4285
0.516,1.985,3.4333
0.517,1.9884,3.4381
0.518,1.9919,3.4428
0.519,1.9953,3.4476
0.52,1.9987,3.4524
0.521,2.0022,3.4571
0.522,2.0056,3.4619
0.523,2.009,3.4666
0.524,2.0125,3.4713
0.525,2.0159,3.476
0.526,2.0193,3.4807
0.527,2.0228,3.4854
0.528,2.0262,3.4901
0.529,2.0296,3.4948
0.53,2.0331,3.4995
0.531,2.0365,3.5041
0.532,2.0399,3.5088
0.533,2.0434,3.5134
0.534,2.0468,3.5181
0.535,2.0502,3.5227
0.536,2.0536,3.5273
0.537,2.0571,3.532
0.538,2.0605,3.5366
0.539,2.0639,3.5412
0.54,2.0674,3.5458
0.541,2.0708,3.5503
0.542,2.0742,3.5549
0.543,2.0777,3.5595
0.544,2.0811,3.5641
0.545,2.0845,3.5686
0.546,2.0879,3.5732
0.547,2.0914,3.5777
0.548,2.0948,3.5822
0.549,2.0982,3.5867
0.55,2.1016,3.5913
0.551,2.1051,3.5958
0.552,2.1085,3.6003
0.553,2.1119,3.6048
0.554,2.1153,3.6092
0.555,2.1187,3.6137
0.556,2.1222,3.6182
0.557,2.1256,3.6226
0.558,2.129,3.6271
0.559,2.1324,3.6315
0.56,2.1358,3.636
0.561,2.1392,3.6404
0.562,2.1426,3.6448
0.563,2.1461,3.6493
0.564,2.1495,3.6537
